Age,Gender,City,AreaType,AnnualIncome,CreditScore,LoanApproved
59,Female,Madurai,Semi-Urban,735327,608,0
49,Male,Trivandrum,Semi-Urban,672348,676,1
35,Female,Madurai,Semi-Urban,580146,695,1
63,Male,Bengaluru,Urban,444020,700,1
28,Female,Mumbai,Urban,921582,662,1
41,Male,Trivandrum,Semi-Urban,795520,631,1
59,Female,Delhi,Urban,200923,573,0
39,Male,Chennai,Urban,771343,777,1
43,Male,Hyderabad,Urban,542265,757,1
31,Female,Hyderabad,Urban,479699,643,0
31,Female,Chennai,Urban,753244,677,1
44,Male,Hyderabad,Urban,670199,646,1
56,Female,Delhi,Urban,617799,661,1
60,Male,Madurai,Semi-Urban,420132,669,0
44,Female,Trivandrum,Semi-Urban,802942,616,0
23,Male,Coimbatore,Semi-Urban,352718,673,0
42,Male,Madurai,Semi-Urban,754825,682,1
22,Male,Mumbai,Urban,617942,594,1
44,Male,Hyderabad,Urban,592855,640,1
64,Female,Bengaluru,Urban,489767,606,0
50,Male,Pune,Urban,632936,624,1
58,Male,Bengaluru,Urban,324876,664,1
22,Male,Trivandrum,Semi-Urban,846928,669,1
41,Female,Hyderabad,Urban,519400,669,1
53,Male,Pune,Urban,462044,781,1
32,Male,Mumbai,Urban,560641,692,1
42,Female,Coimbatore,Semi-Urban,525275,696,1
64,Male,Hyderabad,Urban,848680,683,1
45,Female,Hyderabad,Urban,253327,605,0
47,Female,Delhi,Urban,585158,671,1
62,Male,Pune,Urban,916549,677,1
48,Female,Delhi,Urban,613655,714,1
36,Female,Pune,Urban,637689,621,1
35,Male,Coimbatore,Semi-Urban,594364,649,1
64,Male,Coimbatore,Semi-Urban,470185,623,0
23,Female,Mumbai,Urban,708036,644,0
57,Male,Hyderabad,Urban,561662,662,1
27,Female,Chennai,Urban,628155,617,0
41,Male,Pune,Urban,709807,718,1
29,Male,Pune,Urban,688391,628,1
59,Male,Trivandrum,Semi-Urban,619374,711,1
38,Male,Hyderabad,Urban,779712,655,1
24,Male,Chennai,Urban,802336,654,1
45,Female,Pune,Urban,756947,720,1
34,Female,Bengaluru,Urban,811060,709,1
